id,timestamp,i1_position_switch_pressed,i2_position_switch_pressed,i3_position_switch_pressed,o7_compressor_power_level,o8_valve_open,m1_speed,m2_speed,m3_speed,current_state,current_task,current_task_elapsed_seconds_since_start,current_sub_task,failure_label,current_pos_x,current_pos_y,current_pos_z,target_pos_x,target_pos_y,target_pos_z
VGR,2022-07-19 10:01:44.19,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:44.29,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:44.40,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:44.50,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:44.60,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:44.71,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:44.83,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:44.93,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:45.04,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:45.14,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:45.25,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:45.35,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:45.46,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:45.56,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:45.67,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:45.77,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:45.88,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:45.98,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:46.09,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:46.19,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:46.30,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:46.40,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:46.51,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:46.61,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:46.71,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:46.82,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:46.92,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:47.02,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:47.13,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:47.23,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:47.34,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:47.44,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:47.55,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:47.65,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
VGR,2022-07-19 10:01:47.75,True,True,True,0,False,0,0,0,ready,,0.0,,,0,0,0,0,0,0
